Silhouette Studio Level Testing Document,,,,,,4.2.233,
Win P,Mac P,Level,Task,Notes,Ticket No.,Win,Mac
"=if(IFERROR(search(""Success"",INDIRECT(""G34""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H34""))>0,0),""Mac Pass"",""Mac Fail"")",,.SVG Files,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G35""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H35""))>0,0),""Mac Pass"",""Mac Fail"")",,.EPS Files,Busniness Edition feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G36""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H36""))>0,0),""Mac Pass"",""Mac Fail"")",,.AI Files,Busniness Edition feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G37""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H37""))>0,0),""Mac Pass"",""Mac Fail"")",,.CDR Files,Busniness Edition feature. (Win Only),,,
"=if(IFERROR(search(""Success"",INDIRECT(""G38""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H38""))>0,0),""Mac Pass"",""Mac Fail"")",,.DST Files - Embroidery File,Designer Edition+ and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G39""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H39""))>0,0),""Mac Pass"",""Mac Fail"")",,.EXP Files - Embroidery File,Designer Edition+ and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G40""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H40""))>0,0),""Mac Pass"",""Mac Fail"")",,.JEF Files - Embroidery File,Designer Edition+ and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G41""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H41""))>0,0),""Mac Pass"",""Mac Fail"")",,.PES Files - Embroidery File,Designer Edition+ and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G42""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H42""))>0,0),""Mac Pass"",""Mac Fail"")",,.XXX Files - Embroidery File,Designer Edition+ and above.,,,
Merge,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G44""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H44""))>0,0),""Mac Pass"",""Mac Fail"")",,.STUDIO Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G45""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H45""))>0,0),""Mac Pass"",""Mac Fail"")",,.STUDIO3 Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G46""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H46""))>0,0),""Mac Pass"",""Mac Fail"")",,.GSD Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G47""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H47""))>0,0),""Mac Pass"",""Mac Fail"")",,.DXF Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G48""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H48""))>0,0),""Mac Pass"",""Mac Fail"")",,.PNG Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G49""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H49""))>0,0),""Mac Pass"",""Mac Fail"")",,.JPG Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G50""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H50""))>0,0),""Mac Pass"",""Mac Fail"")",,.BMP Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G51""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H51""))>0,0),""Mac Pass"",""Mac Fail"")",,.GIF Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G52""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H52""))>0,0),""Mac Pass"",""Mac Fail"")",,.TIF Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G53""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H53""))>0,0),""Mac Pass"",""Mac Fail"")",,.PDF Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G54""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H54""))>0,0),""Mac Pass"",""Mac Fail"")",,.SVG Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G55""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H55""))>0,0),""Mac Pass"",""Mac Fail"")",,.EPS Files,,,,
