Silhouette Studio Level Testing Document,,,,,,4.2.233,
Level,Win,Mac,Task,Notes,Ticket No.,Win,Mac
2,"=IFS(INDIRECT(""Setup!B22"")=True,""Pass"",INDIRECT(""Setup!C22"")=True,""Fail"",INDIRECT(""Setup!D22"")=True,""N/A"",INDIRECT(""Setup!E22"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F22"")=True,""Pass"",INDIRECT(""Setup!G22"")=True,""Fail"",INDIRECT(""Setup!H22"")=True,""N/A"",INDIRECT(""Setup!I22"")=True,""Retest"")",SSSE to SSBE,SSBE-MPP3-WD3P-F427,,,
2,"=IFS(INDIRECT(""Setup!B23"")=True,""Pass"",INDIRECT(""Setup!C23"")=True,""Fail"",INDIRECT(""Setup!D23"")=True,""N/A"",INDIRECT(""Setup!E23"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F23"")=True,""Pass"",INDIRECT(""Setup!G23"")=True,""Fail"",INDIRECT(""Setup!H23"")=True,""N/A"",INDIRECT(""Setup!I23"")=True,""Retest"")",SSBE to SSSE,,,,
,File Support,,,,,,
,Open,,,,,,
2,"=IFS(INDIRECT(""Setup!B26"")=True,""Pass"",INDIRECT(""Setup!C26"")=True,""Fail"",INDIRECT(""Setup!D26"")=True,""N/A"",INDIRECT(""Setup!E26"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F26"")=True,""Pass"",INDIRECT(""Setup!G26"")=True,""Fail"",INDIRECT(""Setup!H26"")=True,""N/A"",INDIRECT(""Setup!I26"")=True,""Retest"")",.STUDIO Files,,,,
2,"=IFS(INDIRECT(""Setup!B27"")=True,""Pass"",INDIRECT(""Setup!C27"")=True,""Fail"",INDIRECT(""Setup!D27"")=True,""N/A"",INDIRECT(""Setup!E27"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F27"")=True,""Pass"",INDIRECT(""Setup!G27"")=True,""Fail"",INDIRECT(""Setup!H27"")=True,""N/A"",INDIRECT(""Setup!I27"")=True,""Retest"")",.STUDIO3 Files,,,,
3,"=IFS(INDIRECT(""Setup!B28"")=True,""Pass"",INDIRECT(""Setup!C28"")=True,""Fail"",INDIRECT(""Setup!D28"")=True,""N/A"",INDIRECT(""Setup!E28"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F28"")=True,""Pass"",INDIRECT(""Setup!G28"")=True,""Fail"",INDIRECT(""Setup!H28"")=True,""N/A"",INDIRECT(""Setup!I28"")=True,""Retest"")",.GSD Files,,,,
3,"=IFS(INDIRECT(""Setup!B29"")=True,""Pass"",INDIRECT(""Setup!C29"")=True,""Fail"",INDIRECT(""Setup!D29"")=True,""N/A"",INDIRECT(""Setup!E29"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F29"")=True,""Pass"",INDIRECT(""Setup!G29"")=True,""Fail"",INDIRECT(""Setup!H29"")=True,""N/A"",INDIRECT(""Setup!I29"")=True,""Retest"")",.DXF Files,,,,
2,"=IFS(INDIRECT(""Setup!B30"")=True,""Pass"",INDIRECT(""Setup!C30"")=True,""Fail"",INDIRECT(""Setup!D30"")=True,""N/A"",INDIRECT(""Setup!E30"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F30"")=True,""Pass"",INDIRECT(""Setup!G30"")=True,""Fail"",INDIRECT(""Setup!H30"")=True,""N/A"",INDIRECT(""Setup!I30"")=True,""Retest"")",.PNG Files,,,,
2,"=IFS(INDIRECT(""Setup!B31"")=True,""Pass"",INDIRECT(""Setup!C31"")=True,""Fail"",INDIRECT(""Setup!D31"")=True,""N/A"",INDIRECT(""Setup!E31"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F31"")=True,""Pass"",INDIRECT(""Setup!G31"")=True,""Fail"",INDIRECT(""Setup!H31"")=True,""N/A"",INDIRECT(""Setup!I31"")=True,""Retest"")",.JPG Files,,,,
